date,category,brand,option,r,g,b,L,a,b,hex,case_type,timestamp
251124,lipstick,3CE,넥타,136,71,69,11.4447,27.3571,13.6927,#884745,A_normal,2025-11-27 17:07:29
251124,lipstick,3CE,니트웜베스트,209,79,86,15.491,51.7935,23.4458,#D14F56,A_normal,2025-11-27 17:07:29
251124,lipstick,3CE,드리미겨울쿨추천,164,82,91,13.5597,34.6759,10.5283,#A4525B,A_normal,2025-11-27 17:07:29
251124,lipstick,3CE,라일락글레이즈,185,105,131,16.2266,35.1042,-0.286,#B96983,A_normal,2025-11-27 17:07:29
251124,lipstick,3CE,레드뮤즈,222,67,66,15.5315,59.7212,35.7543,#DE4342,A_normal,2025-11-27 17:07:29
251124,lipstick,3CE,레인오어샤인,210,108,116,17.3228,40.8499,14.1608,#D26C74,A_normal,2025-11-27 17:07:29
251124,lipstick,3CE,머머링,220,121,109,18.4958,37.2004,23.725,#DC796D,A_normal,2025-11-27 17:07:29
251124,lipstick,3CE,밀키섀도우,183,119,102,16.893,23.0775,19.7074,#B77766,A_normal,2025-11-27 17:07:29
251124,lipstick,3CE,버디웜추천,218,109,105,17.6552,42.2341,22.2066,#DA6D69,A_normal,2025-11-27 17:07:29
251124,lipstick,3CE,세컨드스킨,166,81,75,13.4833,34.4041,19.9232,#A6514B,A_normal,2025-11-27 17:07:29
251124,lipstick,3CE,센슈얼브리즈,189,99,88,15.7026,34.9609,22.6284,#BD6358,A_normal,2025-11-27 17:07:29
251124,lipstick,3CE,소프티스트,215,130,123,18.9645,31.9455,17.8205,#D7827B,A_normal,2025-11-27 17:07:29
251124,lipstick,3CE,스모크핑크,210,89,85,16.0497,47.5186,26.4841,#D25955,A_normal,2025-11-27 17:07:29
251124,lipstick,3CE,스피크투미,184,73,62,13.8152,44.2134,29.6359,#B8493E,A_normal,2025-11-27 17:07:29
251124,lipstick,3CE,오트봄웜베이스립추천,229,137,122,19.9464,33.4913,23.1275,#E5897A,A_normal,2025-11-27 17:07:29
251124,lipstick,3CE,오팔샤워,210,149,149,20.2659,22.9531,9.191,#D29595,A_normal,2025-11-27 17:07:29
251124,lipstick,3CE,워미시무브,204,117,82,17.4601,30.8394,33.9294,#CC7552,A_normal,2025-11-27 17:07:29
251124,lipstick,3CE,웨이백,194,115,99,17.0152,29.3712,22.2131,#C27363,A_normal,2025-11-27 17:07:29
251124,lipstick,3CE,유어사이드여름쿨추천,241,102,132,18.4637,56.0095,10.8896,#F16684,A_normal,2025-11-27 17:07:29
251124,lipstick,3CE,이터널웜,186,110,88,16.3026,27.8575,25.1748,#BA6E58,A_normal,2025-11-27 17:07:29
251124,lipstick,3CE,칠무브,151,70,67,12.0574,33.6827,18.0728,#974643,A_normal,2025-11-27 17:07:29
251124,lipstick,3CE,코지위스퍼쿨베스트,218,85,106,16.3495,53.7094,15.7156,#DA556A,A_normal,2025-11-27 17:07:29
251124,lipstick,3CE,콜디스트,121,46,66,9.1297,34.6861,4.4926,#792E42,A_normal,2025-11-27 17:07:29
251124,lipstick,3CE,텍스트미겨울쿨추천,185,58,87,13.2834,52.8506,12.2167,#B93A57,A_normal,2025-11-27 17:07:29
251124,lipstick,3CE,토프베이지가을웜추천,190,112,97,16.645,29.2176,21.6196,#BE7061,A_normal,2025-11-27 17:07:29
251124,lipstick,3CE,패시네이티드,223,117,147,18.6303,44.3786,2.7013,#DF7593,A_normal,2025-11-27 17:07:29
251124,lipstick,3CE,포커스온미,219,103,88,17.259,44.2468,30.2007,#DB6758,A_normal,2025-11-27 17:07:29
251124,lipstick,3CE,퓨어블렌딩여름쿨베이스립추천,236,135,148,20.2511,39.9028,10.1065,#EC8794,A_normal,2025-11-27 17:07:29
251124,lipstick,3CE,허쉬레드뉴트럴베스트,218,62,80,15.1831,61.0369,25.9771,#DA3E50,A_normal,2025-11-27 17:07:29
251124,lipstick,3CE,헤이지로즈,175,76,79,13.6284,40.7073,18.4039,#AF4C4F,A_normal,2025-11-27 17:07:29
251124,lipstick,네이밍,ann안,237,150,150,21.266,32.6837,13.7824,#ED9696,A_normal,2025-11-27 17:07:29
251124,lipstick,네이밍,brevity브레버티,203,154,133,20.2959,15.4235,18.1244,#CB9A85,A_normal,2025-11-27 17:07:29
251124,lipstick,네이밍,furtive퍼티브,201,117,130,17.6239,34.4121,7.291,#C97582,A_normal,2025-11-27 17:07:29
251124,lipstick,네이밍,knell넬,212,140,123,19.5331,25.4125,20.3556,#D48C7B,A_normal,2025-11-27 17:07:29
251124,lipstick,네이밍,mandy맨디,178,104,94,15.6107,28.5141,18.4511,#B2685E,A_normal,2025-11-27 17:07:29
251124,lipstick,네이밍,rizz리즈,215,130,130,19.0096,32.7196,14.0653,#D78282,A_normal,2025-11-27 17:07:29
251124,lipstick,네이밍,tenze텐즈,178,95,102,15.0687,34.2548,11.2391,#B25F66,A_normal,2025-11-27 17:07:29
251124,lipstick,네이밍,uptick업틱,239,113,103,18.789,47.7293,28.8866,#EF7167,A_normal,2025-11-27 17:07:29
251124,lipstick,노노어,001캐시미어로즈,186,101,109,15.8365,34.8586,10.8388,#BA656D,A_normal,2025-11-27 17:07:29
251124,lipstick,노노어,002스웨이드로지브라운,161,106,101,15.145,21.3636,11.8567,#A16A65,A_normal,2025-11-27 17:07:29
251124,lipstick,노노어,003쉬폰피치에코,205,102,89,16.5854,39.6065,26.3362,#CD6659,A_normal,2025-11-27 17:07:29
251124,lipstick,노노어,005프린지레드우드,174,102,95,15.3212,28.1276,16.465,#AE665F,A_normal,2025-11-27 17:07:29
251124,lipstick,노노어,006베일드피오니핑크,217,131,128,19.1375,32.7195,15.8291,#D98380,A_normal,2025-11-27 17:07:29
251124,lipstick,노노어,007슬릿페일피치,218,158,142,21.1188,20.2344,17.1967,#DA9E8E,A_normal,2025-11-27 17:07:29
251124,lipstick,노노어,008타프타피치더스트,218,183,163,23.0796,9.5665,14.8684,#DAB7A3,A_normal,2025-11-27 17:07:29
251124,lipstick,노노어,101코트어스터치,123,88,72,12.2007,12.2118,14.9848,#7B5848,A_normal,2025-11-27 17:07:29
251124,lipstick,노노어,102실루엣샌드,151,132,118,16.943,4.8696,10.213,#978476,A_normal,2025-11-27 17:07:29
251124,lipstick,디어달리아,누디베이지아리아나,214,132,119,19.036,30.0695,20.3815,#D68477,A_normal,2025-11-27 17:07:29
